Region,Model,Parameter,Lower,Median,Upper,Survey
HG,AM2,q1,0.33842664999999994,0.410294,0.49660125,Surface
HG,AM2,q2,0.98233055,0.9990955,1.0158805,Dive
HG,AM1,q1,0.2763178,0.351923,0.4388935,Surface
HG,AM1,q2,0.42532559999999997,0.5822579999999999,0.7892642,Dive
PRD,AM2,q1,0.49101435,0.5621265,0.643272,Surface
PRD,AM2,q2,0.9839858,1.00074,1.0170605000000001,Dive
PRD,AM1,q1,0.44377625,0.5554725,0.6580192,Surface
PRD,AM1,q2,0.7256541,0.971854,1.224782,Dive
CC,AM2,q1,0.2872875,0.334665,0.3833877,Surface
CC,AM2,q2,0.9828219,0.999222,1.0154315,Dive
CC,AM1,q1,0.24889175,0.2989555,0.35275725,Surface
CC,AM1,q2,0.4780573,0.6402635,0.8455227500000002,Dive
SoG,AM2,q1,0.87501285,1.03236,1.2146715,Surface
SoG,AM2,q2,0.98291845,0.9991935000000001,1.0155109999999998,Dive
SoG,AM1,q1,0.47492915,0.6669404999999999,0.90029945,Surface
SoG,AM1,q2,0.463255,0.6213265,0.8125087000000001,Dive
WCVI,AM2,q1,0.6972514,0.83737,0.99231,Surface
WCVI,AM2,q2,0.98316865,0.9992449999999999,1.0157909999999999,Dive
WCVI,AM1,q1,0.4937295,0.6230735,0.7703652,Surface
WCVI,AM1,q2,0.40494505000000003,0.54701,0.7450678999999999,Dive
